Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-01 10:39:00+00;1;15407AMK-03;28;-14.81;2.03;18.01;0.33;4.67;0.36;765.61;100;-14.81;1.95;1.55;1.3736;322.63
2018-01-01 11:24:00+00;1;15407AMK-03;28;-14.46;2.47;23.69;0.11;3.51;0.19;765.75;100;-14.46;2;1.59;1.3719;322.86
2018-01-01 12:09:00+00;1;15407AMK-03;28;-14.2;2.42;20.01;0.39;4.57;0.31;766.03;100;-14.2;2.05;1.63;1.371;323.02
2018-01-01 12:55:00+00;1;15407AMK-03;28;-14.14;3.17;21.48;0.29;5.27;0.03;766.08;100;-14.14;2.06;1.64;1.3708;323.06
2018-01-01 13:40:00+00;1;15407AMK-03;28;-13.93;2.48;62.17;0.81;4.39;0.27;766.13;100;-13.93;2.09;1.66;1.3697;323.19
2018-01-01 14:26:00+00;1;15407AMK-03;28;-13.8;1.83;26.44;0.69;3.13;0.01;766.12;100;-13.8;2.11;1.68;1.369;323.27
2018-01-01 15:11:00+00;1;15407AMK-03;28;-13.71;1.32;14.26;0.18;2.72;0.21;765.98;100;-13.71;2.13;1.69;1.3683;323.33
2018-01-01 15:57:00+00;1;15407AMK-03;28;-13.75;1.44;13.15;0.47;2.7;0.29;765.87;100;-13.75;2.12;1.69;1.3683;323.3
2018-01-01 16:42:00+00;1;15407AMK-03;28;-13.67;1.57;24.75;0.44;2.9;0.45;765.98;100;-13.67;2.14;1.7;1.368;323.36
2018-01-01 17:28:00+00;1;15407AMK-03;28;-13.7;2.74;6.59;1.42;4.99;0.42;766.01;100;-13.7;2.13;1.69;1.3683;323.33
2018-01-01 18:13:00+00;1;15407AMK-03;28;-13.86;2.25;10.07;0.41;4.16;0.06;765.84;100;-13.86;2.1;1.67;1.3689;323.23
2018-01-01 18:59:00+00;1;15407AMK-03;28;-13.91;2.05;18.02;0.69;4.28;0.42;765.81;100;-13.91;2.09;1.67;1.3691;323.2
2018-01-01 19:44:00+00;1;15407AMK-03;28;-14.01;2.23;6.39;1.06;4.2;0.1;766.01;100;-14.01;2.08;1.65;1.37;323.14
2018-01-01 20:30:00+00;1;15407AMK-03;28;-14.12;1.77;356.31;0.64;3.87;-0.06;766.14;100;-14.12;2.06;1.64;1.3708;323.07
2018-01-01 21:15:00+00;1;15407AMK-03;28;-14.07;2.48;6.18;0.51;4.09;-0.05;766.15;100;-14.07;2.07;1.64;1.3705;323.1
2018-01-01 22:01:00+00;1;15407AMK-03;28;-14.17;1.96;20.18;0.59;3.42;0.2;766.15;100;-14.17;2.05;1.63;1.3711;323.04
2018-01-01 22:46:00+00;1;15407AMK-03;28;-14.28;1.71;347.71;0.57;3.57;0.1;766.15;100;-14.28;2.03;1.62;1.3717;322.97
2018-01-01 23:32:00+00;1;15407AMK-03;28;-14.2;2.02;6.88;0.52;3.68;0.2;766.18;100;-14.2;2.05;1.63;1.3713;323.02
2018-01-02 00:17:00+00;1;15407AMK-03;28;-14.12;2.26;12.32;0.54;3.25;0.06;766.18;100;-14.12;2.06;1.64;1.3708;323.07
2018-01-02 01:03:00+00;1;15407AMK-03;28;-14.1;1.3;357.17;0.27;2.15;0.14;766.27;100;-14.1;2.06;1.64;1.3709;323.08
