Время измерения;Температура
16.04.2019 01:00;-4.1
16.04.2019 04:00;-5.8
16.04.2019 07:00;-6.7
16.04.2019 10:00;-1.1
16.04.2019 13:00;1.9
16.04.2019 16:00;4.9
16.04.2019 19:00;5.1
16.04.2019 22:00;-1.5
17.04.2019 01:00;-3.1
17.04.2019 04:00;-1.8
17.04.2019 07:00;-1.2
17.04.2019 10:00;0.6
17.04.2019 13:00;5.2
17.04.2019 16:00;5.8
17.04.2019 19:00;5.7
17.04.2019 22:00;5.0
18.04.2019 01:00;0.4
18.04.2019 04:00;1.0
18.04.2019 07:00;-2.2
18.04.2019 10:00;-6.8
18.04.2019 13:00;-8.0
18.04.2019 16:00;-7.7
18.04.2019 19:00;-9.1
18.04.2019 22:00;-8.2
19.04.2019 01:00;-6.5
19.04.2019 04:00;-7.1
19.04.2019 07:00;-10.7
19.04.2019 10:00;-3.5
19.04.2019 13:00;0.1
19.04.2019 16:00;2.3
19.04.2019 19:00;2.2
19.04.2019 22:00;-1.0
20.04.2019 01:00;-4.3
20.04.2019 04:00;-5.0
20.04.2019 07:00;-3.3
20.04.2019 10:00;0.2
20.04.2019 13:00;5.7
20.04.2019 16:00;7.4
20.04.2019 19:00;5.5
20.04.2019 22:00;0.1
21.04.2019 01:00;-1.3
21.04.2019 04:00;-0.7
21.04.2019 07:00;-0.9
21.04.2019 10:00;0.8
21.04.2019 13:00;2.2
21.04.2019 16:00;1.7
21.04.2019 19:00;2.0
21.04.2019 22:00;-0.7
22.04.2019 01:00;-4.3
22.04.2019 04:00;-5.7
22.04.2019 07:00;-6.4
22.04.2019 10:00;1.0
22.04.2019 13:00;5.1
22.04.2019 16:00;7.7
22.04.2019 19:00;7.4
22.04.2019 22:00;2.1
23.04.2019 01:00;-0.2
23.04.2019 04:00;-1.2
23.04.2019 07:00;-1.7
23.04.2019 10:00;5.6
23.04.2019 13:00;10.6
23.04.2019 16:00;12.6
23.04.2019 19:00;11.9
23.04.2019 22:00;5.2
24.04.2019 01:00;1.1
24.04.2019 04:00;0.1
24.04.2019 07:00;-0.3
24.04.2019 10:00;6.1
24.04.2019 13:00;12.0
24.04.2019 16:00;12.9
24.04.2019 19:00;12.8
24.04.2019 22:00;8.6
25.04.2019 01:00;5.8
25.04.2019 04:00;4.3
25.04.2019 07:00;6.9
25.04.2019 10:00;8.1
25.04.2019 13:00;12.4
25.04.2019 16:00;14.4
25.04.2019 19:00;11.1
25.04.2019 22:00;6.0
26.04.2019 01:00;5.0
26.04.2019 04:00;2.7
26.04.2019 07:00;1.6
26.04.2019 10:00;2.6
26.04.2019 13:00;6.2
26.04.2019 16:00;5.7
26.04.2019 19:00;5.3
26.04.2019 22:00;0.2
27.04.2019 01:00;-1.0
27.04.2019 04:00;-2.1
27.04.2019 07:00;-2.9
27.04.2019 10:00;-0.4
27.04.2019 13:00;1.3
27.04.2019 16:00;3.5
27.04.2019 19:00;3.5
27.04.2019 22:00;-0.2
